F_diff_nT,F_gradient_nT_per_km,F_landward,F_regression_r2,F_regression_slope,F_seaward,I_diff_deg,I_gradient_deg_per_km,I_landward,I_regression_r2,I_regression_slope,I_seaward,center_lat,center_lon,gradient_direction,scale_km,seaward_direction,site_name,site_type,transect_direction,transect_km
-116.42,-2.3284,52371.02,0.999995,-2.3284,52487.44,-0.1391,-0.002782,67.2509,0.999991,-0.002782,67.39,41.93,-70.03,seaward,50.0,west,"Cape Cod (Wellfleet), USA",hotspot,east_west,50.0
217.13,4.3426,56491.15,0.999999,4.3426,56274.02,-0.3587,-0.007174,-66.6047,0.999997,-0.007174,-66.246,-40.78,172.85,landward,50.0,north,"Golden Bay, NZ",hotspot,north_south,50.0
144.24,2.8848,55530.44,1.0,2.8848,55386.2,-0.1194,-0.002388,-66.8759,1.0,-0.002388,-66.7565,-43.95,-176.55,landward,50.0,east,"Chatham Islands, NZ",hotspot,east_west,50.0
1.76,0.0352,50554.65,0.954974,0.0352,50552.89,-0.005,-0.0001,72.0686,0.996961,-0.0001,72.0736,59.25,-2.57,landward,50.0,east,"Orkney (Sanday), Scotland",hotspot,east_west,50.0
-17.44,-0.3488,48997.38,0.999797,-0.3488,49014.82,-0.0218,-0.000436,67.6254,0.999913,-0.000436,67.6472,52.9,1.3,seaward,50.0,east,"Norfolk, UK",hotspot,east_west,50.0
-181.46,-3.6292,53033.23,0.999989,-3.6292,53214.69,-0.3372,-0.006744,69.0641,0.999999,-0.006744,69.4013,46.51,-63.42,seaward,50.0,north,"Prince Edward Island, Canada",hotspot,north_south,50.0
-72.46,-1.4492,61991.53,0.999983,-1.4492,62063.99,0.0874,0.001748,-72.2976,0.999997,0.001748,-72.385,-42.18,145.33,seaward,50.0,west,"Tasmania (west coast), Australia",hotspot,east_west,50.0
-114.57,-2.2914,49226.15,0.999996,-2.2914,49340.72,-0.3375,-0.00675,68.0158,0.999996,-0.00675,68.3533,53.41,6.12,seaward,50.0,north,Dutch Wadden Sea,control,north_south,50.0
-29.26,-0.5852,46609.51,0.999852,-0.5852,46638.77,-0.0713,-0.001426,56.9745,0.999978,-0.001426,57.0458,27.85,-97.17,seaward,50.0,east,"Matagorda-Padre Island, TX",control,east_west,50.0
24.56,0.4912,34833.07,0.999967,0.4912,34808.51,-0.0828,-0.001656,21.1271,0.999905,-0.001656,21.2099,20.22,-16.28,landward,50.0,west,"Banc d'Arguin, Mauritania",control,east_west,50.0
65.24,1.3048,53232.68,0.999903,1.3048,53167.44,0.0324,0.000648,78.1286,0.999846,0.000648,78.0962,69.6,18.9,landward,50.0,west,Norwegian Coast (Tromso),control,east_west,50.0
15.59,0.3118,44757.35,0.99981,0.3118,44741.76,0.0097,0.000194,55.9536,0.998794,0.000194,55.9439,41.1,-8.6,landward,50.0,west,Portuguese Coast,control,east_west,50.0
56.74,1.1348,25812.33,0.999775,1.1348,25755.59,-0.1059,-0.002118,-65.9824,0.999806,-0.002118,-65.8765,-34.4,18.4,landward,50.0,south,South African Coast (False Bay),control,north_south,50.0
154.16,3.0832,46115.76,1.0,3.0832,45961.6,0.092,0.00184,49.1491,0.999991,0.00184,49.0571,35.7,140.85,landward,50.0,east,Japanese Coast (Choshi),control,east_west,50.0
